squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,oft1,mis1,gridyear
22804,M,2017,ARM,2017,KL,1,6/26/17,M4634,M4635,W*/B*,173.187,57,12,234.894,19.554,7.138,245.698,450,147.378,121.092,26,18.624,15.143,300,N,NA,0,8042,5/5/17,4,127,14.8,5/30/17,49.5,19984,125,177,1.5384559913193183,2.446471774611475,KL 2017
23023,F,2017,ARM,2017,KL,1,6/30/17,M4953,M4954,R*/G,218.923,55,10,310.521,9.737,9.804,26.363,450,257.664,26.264,24,96.625,1.122,300,N,NA,0,7745,5/9/17,3,138,27.7,6/3/17,47.5,19766,129,181,2.4134484750400813,3.014273836794809,KL 2017
22658,F,2017,ARM,2017,KL,1,6/14/17,M4622,M2623,G*/R*,158.683,44,0,223.144,77.578,16.2,109.847,450,166.429,102.331,23,0.935,0.167,300,Y,NA,0,7822,4/22/17,3,113,11.5,5/18/17,53.2,21155,112,165,1.5767532544377543,2.536914209602535,KL 2017
22640,F,2017,ARM,2017,KL,1,6/11/17,M4674,M4675,R*/R*,66.403,29,6,283.487,20.208,40.305,107.036,450,195.428,40.483,22,4.134,0.347,300,Y,NA,0,7830,4/20/17,3,110,10.3,5/14/17,49.2,21350,110,162,0.29869148026939246,2.864475649930503,KL 2017
22996,F,2017,ARM,2017,KL,1,7/23/17,M4938,M4939,R/R*,40.712,44,4,339.88,42.148,23.009,121.737,450,145.368,145.374,10,34.839,0.357,300,N,NA,0,7767,5/16/17,3,137,11.7,6/10/17,40.2,20191,136,204,0.4126933155881124,1.2891119674805478,KL 2017
22758,F,2017,ARM,2017,KL,1,7/5/17,M4628,M4629,O*/W*,170.976,46,26,180.034,43.555,6.338,176.54,450,83.954,200.905,7,31.679,21.054,300,Y,NA,0,7736,5/3/17,4,123,8.8,5/28/17,43,19583,123,186,2.7097428236798953,0.5062977466911677,KL 2017
22773,M,2017,ARM,2017,KL,1,6/25/17,M4688,M4689,W*/G*,54.531,13,9,283.1,43.119,14.026,173.186,450,158.471,96.168,7,96.275,74.102,300,Y,NA,0,8041,5/3/17,2,124,12.3,5/29/17,53.7,19809,123,176,0.088340029,0.881557352,KL 2017
23080,M,2017,ARM,2017,KL,1,7/7/17,M4919,M4920,Y*/G,51.306,15,7,89.899,14.27,18.522,318.239,450,233.622,57.689,6,0.724,0.066,300,Y,NA,0,7851,5/13/17,3,143,25.9,6/7/17,46.5,21269,133,188,-0.584006673,1.9298261770528486,KL 2017
22898,M,2017,ARM,2017,KL,1,7/6/17,M4807,M4808,R*/R,27.62,5,8,117.514,9.891,44.185,404.518,450,164.719,112.505,5,40.984,0.017,300,Y,NA,0,7823,5/8/17,3,128,12.9,6/2/17,51,21215,128,187,-1.439007191,1.1764761252123876,KL 2017
22995,F,2017,ARM,2017,KL,1,7/9/17,M4936,M4937,B/B*,121.855,10,5,71.798,180.241,3.37,115.336,450,141.346,142.553,5,2.235,0.031,300,Y,NA,0,7767,5/16/17,3,137,12.1,6/10/17,44.3,20191,136,190,2.121614119556384,1.071693788873009,KL 2017
22985,F,2017,ARM,2017,SU,1,7/21/17,M4811,M4812,Y*/B*,6.266,1,0,449.855,11.25,0,390.823,450,111.898,117.561,5,78.224,5.15,300,Y,NA,0,7938,5/13/17,3,136,15.3,6/7/17,45.3,21907,133,202,-2.439195475,0.7719419619886674,SU 2017
22748,F,2017,ARM,2017,KL,1,7/15/17,M4678,M4679,R*/W*,89.913,26,25,103.908,18.851,10.778,271.663,450,48.445,235.721,4,32.413,0.162,300,N,NA,0,7861,5/2/17,2,122,10.2,5/27/17,58.5,22117,122,196,1.1783583068864059,0.07482938,KL 2017
22890,F,2017,ARM,2017,KL,1,6/23/17,M3853,M4681,P/R*,125.1,33,12,219.682,29.398,3.882,194.637,450,149.638,138.953,4,206.59,0.687,300,Y,B*/R* (P/R*); NKP,0,8131,5/2/17,3,130,24.5,5/28/17,48.5,20857,122,174,1.0723489948577691,0.35591039731574065,KL 2017
22873,M,2017,ARM,2017,KL,1,7/15/17,M4969,M4970,W*/Y,59.381,12,0,266.019,23.551,10.044,186.163,450,198.771,93.893,3,1.326,0.167,300,Y,NA,0,7816,5/8/17,4,128,9,6/5/17,48.4,20995,128,196,-0.601609345,1.4161473716324167,KL 2017
22986,M,2017,ARM,2017,SU,1,7/12/17,M4815,M4816,W*/G*,56.039,5,13,14.113,0.999,79.379,406.211,450,138.175,137.837,2,7.585,5.35,300,Y,NA,0,7938,5/13/17,3,136,15.5,6/7/17,45.2,21907,133,193,-1.004177191,0.8449971908340781,SU 2017
22979,M,2017,ARM,2017,SU,1,6/29/17,M4820,M4821,Y*/Y*,109.366,21,0,181.479,52.307,22.225,183.102,450,102.657,146.576,2,64.869,14.718,300,Y,NA,0,7908,5/9/17,3,136,25.7,6/3/17,60.1,19742,129,180,0.2854690555700202,0.4162029100468251,SU 2017
22994,F,2017,ARM,2017,KL,1,7/6/17,M4940,M4941,G/G*,21.667,3,9,199.005,12.278,83.052,309.55,450,113.986,179.528,1,123.402,0.433,300,N,NA,0,7767,5/16/17,3,137,12.7,6/10/17,48.6,20191,136,187,-1.313837564,0.10804345735053858,KL 2017
23026,F,2017,ARM,2017,KL,1,7/6/17,M4980,M4981,G*/W,7.927,1,0,448.442,10.931,0,362.156,450,219.236,70.877,1,192.551,12.132,300,Y,NA,0,7796,5/13/17,3,138,19.5,6/7/17,50.3,20688,133,187,-2.305539709,0.7781513328572488,KL 2017
23089,M,2017,ARM,2017,KL,1,7/6/17,M4974,M4975,R*/W,52.685,61,6,258.877,5.115,24.847,165.305,450,106.132,185.615,1,152.983,106.32,300,Y,NA,0,7809,5/9/17,2,143,36.9,6/5/17,58.4,20865,129,187,0.5599138474406703,-0.456002922,KL 2017
22964,F,2017,ARM,2017,SU,1,6/29/17,M4801,M4802,G*/W*,4.573,1,1,425.978,0,0,428.585,450,168.563,124.462,1,227.716,109.648,300,N,NA,0,7922,5/8/17,3,128,24.3,6/2/17,58.1,20948,128,180,-2.616143815,-0.175206577,SU 2017
23000,F,2017,ARM,2017,KL,1,7/6/17,M1716,M1722,O*/Y,43.151,14,11,311.794,6.591,3.813,339.983,450,218.693,50.546,0,298.696,0.061,300,Y,NA,0,8138,5/14/17,2,136,13.7,6/12/17,59.9,21578,134,187,-0.905118868,0.48267699820164783,KL 2017
22891,M,2017,ARM,2017,KL,1,6/25/17,M4682,M4683,Y*/Y*,185.139,11,7,143.809,0.369,8.002,165.322,450,265.343,13.54,0,298.28,0.168,300,N,NA,0,8131,5/2/17,3,130,24.5,5/28/17,46.2,20857,122,176,0.7324493104280297,0.8558415626122973,KL 2017
22966,F,2017,ARM,2017,SU,1,7/5/17,M4648,M4649,B*/Y*,65.262,24,7,311.622,45.791,4.38,131.856,450,11.062,222.324,0,219.177,0.189,300,Y,NA,0,7922,5/8/17,3,128,23.7,6/2/17,57.4,20948,128,186,0.4571035469275721,-0.93278864,SU 2017
22864,M,2017,ARM,2017,KL,1,6/27/17,M2182,M2183,W*/R,3.184,9,0,403.248,0.253,0,139.182,450,293.292,0.656,0,230.503,0.708,300,N,NA,0,7928,5/6/17,2,127,11.2,5/31/17,48.5,21075,126,178,-1.243067402,1.2679605919700694,KL 2017
23024,M,2017,ARM,2017,KL,1,7/2/17,M4951,M4952,B*/R,18.316,18,2,361.057,42.09,8.583,233.961,450,188.261,74.888,0,275.953,7.245,300,Y,NA,0,7745,5/9/17,3,138,28.7,6/3/17,57.8,19766,129,183,-0.838922267,0.28987322617510697,KL 2017
22759,F,2017,ARM,2017,KL,1,6/30/17,M4630,M4631,Y*/B*,80.33,32,11,237.451,0.539,0,204.244,450,191.855,77.402,0,292.799,21.175,300,N,NA,0,7736,5/3/17,4,123,8.6,5/28/17,47,19583,123,181,0.37473169423215785,0.18416778786714016,KL 2017
23031,F,2017,ARM,2017,KL,1,7/18/17,M2468,M2469,W/W*,15.047,10,4,196.065,19.35,8.227,307.921,450,193.282,102.587,0,299.173,47.731,300,Y,NA,0,7812,5/18/17,3,138,9.9,6/12/17,41.1,20920,138,199,-1.152290833,-0.043927055,KL 2017
22874,M,2017,ARM,2017,KL,1,7/16/17,M4967,M4968,O*/G,90.938,17,15,140.692,19.826,38.23,210.715,450,131.883,157.664,0,259.962,48.673,300,Y,NA,0,7816,5/8/17,4,128,8.9,6/5/17,45.5,20995,128,197,0.5386558015512274,-0.431116745,KL 2017
23027,F,2017,ARM,2017,KL,1,7/6/17,M4978,M4979,R*/O,246.401,6,7,322.381,3.803,15.514,36.223,450,31.04,102.502,0,288.19,89.026,300,N,NA,0,7796,5/13/17,3,138,20.1,6/7/17,56,20688,133,187,1.311507879094929,-0.883383003,KL 2017
22657,M,2017,ARM,2017,KL,1,6/14/17,M4624,M4625,R*/B*,61.994,18,10,206.97,74.025,15.762,177.112,450,13.33,268.344,0,273.669,113.312,300,N,NA,0,7822,4/22/17,3,113,11.9,5/18/17,54.5,21155,112,165,0.6757447085795819,-1.742447105,KL 2017
23041,M,2017,ARM,2017,KL,1,7/12/17,M4944,M4945,Y*/P,63.514,2,11,98.894,3,100.863,367.073,450,0,299.386,0,293.843,137.123,300,N,NA,0,7832,5/16/17,3,140,19.2,6/10/17,46.8,21382,136,193,-1.162530277,-2.099189104,KL 2017
22684,F,2017,ARM,2017,SU,1,6/23/17,M4655,M4656,G*/R*,135.032,22,8,284.482,139.306,6.382,130.654,450,0,300,0,277.533,277.533,300,Y,NA,0,8034,4/24/17,2,114,10.8,5/20/17,61,20061,114,174,1.829602010592004,-2.577087559,SU 2017
23054,F,2017,ARM,2017,KL,1,7/9/17,F9048,F9049,B/O*,35.803,17,6,111.573,24.648,38.028,344.533,450,0,297.132,0,294.32,294.32,300,Y,NA,0,7933,5/20/17,2,141,12.7,6/21/17,72,21366,140,190,-0.835701568,-2.685417044,KL 2017
22778,M,2017,ARM,2017,KL,1,6/30/17,M4617,M4618,G*/W*,0.872,5,0,279.841,10.632,0,364.99,450,0.418,299.462,0,296.231,296.231,300,N,NA,0,7825,5/2/17,3,124,13.3,5/27/17,51.8,21227,122,181,-2.009243114,-2.70771664,KL 2017
23052,F,2017,ARM,2017,SU,1,7/20/17,M3893,M3894,W*/W*,22.951,11,4,241.751,1.585,9.001,414.489,450,298.008,0,0,300,300,300,Y,NA,0,7899,5/17/17,2,137,18,6/13/17,52.5,12003,137,201,-1.771840323,-0.078725765,SU 2017
22659,F,2017,ARM,2017,KL,1,6/14/17,M4670,M4671,Y*/G*,1.502,1,0,445.377,0,0,438.679,450,299.833,0,0,300,300,300,N,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7822,4/22/17,3,113,11.2,5/18/17,49.8,21155,112,165,-2.769843914,-0.070611994,KL 2017
22865,F,2017,ARM,2017,KL,1,6/27/17,M4690,M4691,O*/B,4.196,12,0,402.184,10.907,0,393.273,450,300,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7928,5/6/17,2,127,11.8,5/31/17,51,21075,126,178,-2.167533451,-0.069869528,KL 2017
23079,M,2017,ARM,2017,KL,1,7/12/17,M4917,M4918,G*/R,95.835,17,2,286.204,12.096,6.818,262.97,450,290.175,1.03,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7851,5/13/17,3,143,24.8,6/7/17,46.2,21269,133,193,-0.590043303,-0.118135796,KL 2017
22685,F,2017,ARM,2017,SU,1,6/20/17,M4654,M4653,R*/B*,2.871,9,0,442.824,9.808,0,413.274,450,0,294.615,0,300,300,300,N,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8034,4/24/17,2,114,10.8,5/20/17,65.8,20061,114,171,-2.39951649,-2.715186083,SU 2017
23025,M,2017,ARM,2017,KL,1,7/2/17,M4955,M4956,G*/Y,1.164,5,0,433.999,6.922,0,247.39,450,1.446,298.797,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,7745,5/9/17,3,138,26.2,6/3/17,46.5,19766,129,183,-1.791938294,-2.727374437,KL 2017
23419,F,2018,ARM,2018,KL,1,6/12/18,F9205,F9206,O*/Bk,140.724,73,4,115.982,85.741,14.681,109.714,450,234.124,48.58,10,2.636,0.034,300,Y,NA,0,8729,4/22/18,2,113,12,5/22/18,76,20220,112,163,2.5208583761744916,2.2263253363228426,KL 2018
23494,F,2018,ARM,2018,KL,1,6/25/18,F9339,F9340,O*/O,171.174,81,15,192.592,84.847,0,66.182,450,213.149,52.516,10,21.221,9.376,300,Y,NA,0,8718,4/27/18,3,118,13,5/23/18,57.5,19984,117,176,3.626238466437158,2.016446479166994,KL 2018
23558,F,2018,ARM,2018,KL,1,6/18/18,F9470,F9471,B*/O,41.316,29,8,378.662,1.234,11.411,316.598,450,206.337,59.893,8,7.975,0.067,300,Y,NA,0,8699,4/30/18,3,125,27.6,5/28/18,63.2,19583,120,169,-0.87569246,1.9039035508353346,KL 2018
23566,F,2018,ARM,2018,KL,1,6/16/18,F9330,F9331,G*/B*,109.016,34,5,269.983,21.943,10.821,77.51,450,245.41,37.403,4,78.412,0.934,300,Y,NA,0,8777,4/25/18,2,125,24.1,5/22/18,NA,21022,115,167,0.9071397378553013,1.672628686632898,KL 2018
23401,F,2018,ARM,2018,KL,1,6/23/18,M6024,M6025,W*/W*,90.902,11,4,259.758,89.968,6.14,90.886,450,291.723,1.367,2,8.108,3.603,300,Y,merged first part of trial 1a with the rest of trial 1b,0,8933,4/21/18,3,112,12.3,5/17/18,54.8,20857,111,174,0.8494762669569889,2.139997815,KL 2018
23525,M,2018,ARM,2018,KL,1,6/28/18,F9496,F9497,W*/B,182.499,46,1,196.393,59.3,0,67.69,450,22.455,61.827,0,298.297,0.033,300,Y,NA,0,8723,4/30/18,2,122,13.1,5/28/18,63.6,20079,120,179,1.9590159911702534,-0.438522968,KL 2018
23573,F,2018,ARM,2018,KL,1,6/29/18,F9212,F9213,O*/R,98.616,19,7,295.912,45.762,6.273,192.03,450,207.305,63.363,0,296.53,0.034,300,Y,NA,0,8778,4/30/18,2,126,15.2,5/27/18,52.2,21023,120,180,0.3461297719723395,0.3825230763673439,KL 2018
23464,F,2018,ARM,2018,KL,1,6/26/18,F9209,F9210,Y*/O,128.95,34,7,156.69,3.972,2.302,240.511,450,299.364,0,0,265.698,0.401,300,Y,NA,0,8709,4/25/18,3,115,11,5/23/18,52,19764,115,177,0.5187795035151382,1.1782814970093982,KL 2018
23492,F,2018,ARM,2018,KL,1,6/23/18,F9337,F9338,G*/B,171.28,28,23,120.622,25.022,10.845,200.677,450,0.266,237.61,0,296.668,0.6,300,Y,NA,0,8718,4/27/18,3,118,12.7,5/23/18,56.5,19984,117,174,1.9919002629159406,-1.316266826,KL 2018
23505,M,2018,ARM,2018,KL,1,6/28/18,F9478,M9479,G*/W,331.036,41,6,11.211,13.436,13.945,74.994,450,233.73,42.577,0,290.856,0.934,300,Y,NA,0,8843,4/29/18,3,120,12.1,5/24/18,43.8,22297,119,179,2.975912605393981,0.6086030994110357,KL 2018
23387,F,2018,ARM,2018,KL,1,6/10/18,M5990,M5991,G*/G*,123.992,21,14,99.1,86.371,18.026,148.535,450,4.671,291.624,0,280.414,175.108,300,Y,NA,0,8927,4/19/18,2,109,10.8,5/14/18,48.2,19846,109,161,1.792322261628334,-2.141477244,KL 2018
23520,F,2018,ARM,2018,KL,1,6/20/18,F9472,F9473,Y*/W*,12.186,5,2,41.942,10.775,8.109,408.179,450,19.519,242.207,0,288.087,288.087,300,Y,NA,0,8790,4/29/18,2,121,13.2,5/27/18,71.4,21350,119,171,-1.637052905,-2.309163067,KL 2018
23577,M,2018,ARM,2018,KL,1,7/4/18,F9460,F9461,O/O*,72.483,10,5,1.668,113.261,43.009,255.702,450,0.499,298.097,0,295.886,295.886,300,Y,NA,0,8842,5/3/18,3,126,13.1,5/30/18,42.8,22296,123,185,0.5530954031961279,-2.698791173,KL 2018
23496,M,2018,ARM,2018,KL,1,6/13/18,F9288,F9289,Y*/Y,110.861,32,3,250.902,33.963,22.055,188.067,450,299.998,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8784,4/23/18,2,118,20,5/21/18,67.1,21215,113,164,0.3886565926831921,-0.06987842,KL 2018
23607,M,2018,ARM,2018,KL,1,7/7/18,M5524,M5596,B/W*,26.465,13,2,402.552,1.268,3.304,271.014,450,299.998,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8738,5/3/18,3,128,12.8,5/30/18,40.1,20297,123,188,-1.455725884,-0.06987842,KL 2018
23578,F,2018,ARM,2018,KL,1,7/7/18,F9458,F9459,Y/G*,28.132,10,4,58.59,10.674,17.885,372.02,450,300,0,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8842,5/3/18,3,126,12.4,5/30/18,41.1,22296,123,188,-1.223017993,-0.069869528,KL 2018
23688,F,2018,ARM,2018,KL,1,7/17/18,F9423,F9424,W/G*,82.746,16,7,300.016,10.541,15.782,254.749,450,0.666,270.738,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8941,5/18/18,2,142,14.2,6/12/18,50.6,19719,138,198,-0.447942408,-2.605931195,KL 2018
23485,M,2018,ARM,2018,KL,1,6/16/18,F9476,F9211,Y*/R,78.045,20,0,278.597,19.707,10.377,272.436,450,0,299.165,0,300,300,300,Y,never saw itself in mirror: NA for attack and approach latencies (changed to max value),0,8743,4/27/18,3,118,15.9,5/24/18,54.3,20409,117,167,-0.739517683,-2.735441447,KL 2018
